CODMICRO,x,y
11001,-64.02809016,-9.431146744
11002,-64.09726344,-11.69454433
11003,-62.56602541,-9.658740782
11004,-62.35591209,-10.63633202
11005,-62.88325019,-11.60550206
11006,-61.68816422,-11.93220796
11007,-60.67269365,-12.13722728
11008,-61.21562901,-13.15302521
12001,-72.86137495,-8.273196265
12002,-71.12711636,-8.698413369
12003,-69.65948927,-9.614086362
12004,-67.91989473,-9.982548287
12005,-69.16067722,-10.71426069
13001,-65.13124737,-0.341153627
13002,-67.5564268,-1.867718034
13003,-69.6974409,-4.758987309
13004,-68.71018334,-5.978173797
13005,-65.46926205,-4.020160319
13006,-63.22003873,-4.121901505
13007,-60.24922528,-3.305908319
13008,-59.92308407,-1.587592262
13009,-58.56079414,-3.147962208
13010,-58.19952297,-2.908003139
13011,-68.14498392,-8.10854895
13012,-65.10186522,-7.140295946
13013,-60.54389727,-6.682635521
14001,-62.22296797,3.486365377
14002,-60.24906003,3.404309796
14003,-61.7489489,1.479482941
14004,-60.49541932,0.31863016
15001,-56.87888242,-0.104069213
15002,-54.65425542,-1.871098308
15003,-53.63357183,-0.191353058
15004,-51.01555023,-2.13500056
15005,-50.37401894,-0.887360134
15006,-49.36398211,-0.522870391
15007,-48.4933441,-1.36095515
15008,-48.03077658,-1.384016673
15009,-47.78211919,-0.822656908
15010,-47.07346044,-1.151502731
15011,-49.53162825,-2.365217955
15012,-48.68217559,-2.573018553
15013,-47.1883967,-2.073767029
15014,-56.42309136,-6.452063981
15015,-53.35794434,-5.667593926
15016,-49.92126323,-4.544935064
15017,-48.05099309,-3.847577242
15018,-51.95225349,-7.438618638
15019,-50.1641653,-6.38442387
15020,-49.66195275,-5.642328557
15021,-49.59184829,-7.100185427
15022,-50.19344333,-8.701281045
16001,-51.71092036,2.834662235
16002,-50.87669598,1.580132982
16003,-51.68526613,0.988861493
16004,-52.85538517,0.655999436
17001,-47.89911026,-6.031740519
17002,-48.4465641,-7.344810865
17003,-49.00279373,-9.119535201
17004,-49.85800873,-11.36122191
17005,-48.84451049,-11.96961809
17006,-48.14632935,-10.11161537
17007,-47.1672899,-9.529979772
17008,-47.34223817,-12.14611192
21001,-44.77970819,-2.145535643
21002,-44.22121478,-2.596998189
21003,-44.00296845,-2.925024103
21004,-43.034957,-2.759876839
21005,-45.10069544,-3.035706516
21006,-44.12347954,-3.590271083
21007,-46.07218499,-2.32865807
21008,-45.98808348,-3.974637303
21009,-47.16729364,-5.134314261
21010,-44.81075256,-4.380135071
21011,-45.65675544,-5.791729834
21012,-44.2369173,-5.363274249
21013,-42.45948667,-3.173857226
21014,-43.2512691,-3.642531693
21015,-44.011564,-4.396955369
21016,-43.26797456,-4.368324694
21017,-43.3968142,-5.249391596
21018,-44.13858307,-6.387437764
21019,-47.12474788,-6.939075588
21020,-46.31315015,-8.475674171
21021,-45.35065483,-7.128620688
22001,-42.24190852,-4.036020311
22002,-41.6225957,-3.494778144
22003,-42.60230031,-5.067983764
22004,-41.59491319,-5.195572119
22005,-42.66368369,-6.158945042
22006,-41.66334429,-6.29075465
22007,-45.0997756,-8.28708283
22008,-43.96722691,-7.642737927
22009,-43.08569867,-7.337580565
22010,-44.71759515,-9.246840978
22011,-42.87458419,-8.804959064
22012,-44.56106301,-10.21301129
22013,-41.88343617,-6.992914024
22014,-40.87798016,-6.901565473
22015,-41.57793068,-7.956818935
23001,-40.60003206,-3.098505903
23002,-41.03125297,-3.914170779
23003,-40.711333,-3.504569622
23004,-40.4938187,-3.588257748
23005,-40.20831873,-3.734752805
23006,-40.85104578,-4.535873919
23007,-40.11747043,-4.394475354
23008,-39.59704633,-3.331753949
23009,-39.0794083,-3.539078734
23010,-39.47946458,-3.674280288
23011,-39.31407862,-3.89957469
23012,-39.39115248,-4.374566504
23013,-38.8452442,-4.415854694
23014,-38.52158068,-4.440699079
23015,-38.18128857,-4.33618527
23016,-38.67902808,-3.898419844
23017,-38.48531083,-4.15204498
23018,-40.52080626,-5.233145828
23019,-39.30234514,-5.059324397
23020,-40.27216756,-6.253860448
23021,-39.4826148,-5.805103371
23022,-37.6708861,-4.667610815
23023,-38.18179263,-5.08348017
23024,-38.69746282,-5.714692784
23025,-38.33127328,-5.864345007
23026,-38.99664926,-6.365929646
23027,-39.53802431,-6.645467735
23028,-38.88796071,-6.75220949
23029,-40.13201791,-7.086367307
23030,-39.40012471,-6.968763972
23031,-38.82069364,-7.187651668
23032,-39.41981472,-7.292788285
23033,-38.95933963,-7.493085672
24001,-37.30999223,-5.126530933
24002,-37.67365255,-5.595002003
24003,-37.29024308,-5.809476962
24004,-36.8988478,-5.581643349
24005,-38.39704542,-6.246355662
24006,-38.08956719,-6.14633084
24007,-37.802309,-6.106671603
24008,-36.31361107,-5.177995532
24009,-36.33078355,-5.595687324
24010,-36.6057771,-6.001154095
24011,-37.16749523,-6.488894251
24012,-36.65551751,-6.501765506
24013,-35.91386184,-5.464135496
24014,-35.99293414,-6.179418717
24015,-35.58461877,-6.087174724
24016,-35.61915412,-5.337630803
24017,-35.35186068,-5.832135458
24018,-35.24097228,-5.79966427
24019,-35.1717228,-6.3589506
25001,-37.59364256,-6.350149728
25002,-38.50480936,-6.8579654
25003,-37.93652516,-6.772694204
25004,-37.31475036,-7.013569815
25005,-37.88442845,-7.190979196
25006,-38.34920576,-7.470365079
25007,-37.73697411,-7.503993538
25008,-36.94447522,-6.920604662
25009,-36.42477263,-6.73123957
25010,-36.87575275,-7.712741459
25011,-36.31460351,-7.540545561
25012,-36.11171857,-6.848536846
25013,-35.70606735,-6.624795294
25014,-35.8931809,-7.030010112
25015,-35.65013192,-6.927872392
25016,-35.43436042,-6.819750319
25017,-35.96348906,-7.284387261
25018,-35.50657259,-7.286192711
25019,-35.7428515,-7.609482012
25020,-35.13800854,-6.727836965
25021,-35.22291643,-7.151460107
25022,-34.94729118,-7.102094688
25023,-34.98113786,-7.380115528
26001,-40.1348536,-7.811716535
26002,-39.24953458,-8.028875328
26003,-37.84387241,-7.825893978
26004,-37.60036063,-8.41500574
26005,-40.2434397,-8.707188771
26006,-38.46598347,-8.668508405
26007,-37.11087393,-8.802608386
26008,-36.30203182,-8.280024548
26009,-36.01386231,-7.874401691
26010,-35.56003327,-7.882430873
26011,-36.5322275,-8.987364488
26012,-35.91619665,-8.519634335
26013,-35.19159437,-7.646833344
26014,-35.33709499,-8.121797837
26015,-35.47776112,-8.638182109
26016,-34.96070571,-7.796260081
26017,-35.02189933,-8.047129346
26018,-35.0860121,-8.360019542
26019,-32.42699457,-3.856845161
27001,-37.75469042,-9.161984621
27002,-37.89410829,-9.446111183
27003,-37.39228822,-9.43850587
27004,-37.13024217,-9.634540616
27005,-36.61700647,-9.438028345
27006,-36.6665726,-9.782583818
27007,-36.93080199,-9.947915203
27008,-36.11262682,-9.156635136
27009,-35.78191544,-9.196534954
27010,-35.36056144,-9.100556112
27011,-35.81168941,-9.563918981
27012,-36.22895666,-9.905688547
27013,-36.5340419,-10.21810015
28001,-37.5508206,-9.960633955
28002,-37.61061722,-10.44366222
28003,-37.16722297,-10.37544647
28004,-37.44179628,-10.70797504
28005,-37.98297025,-10.910069
28006,-37.71328605,-10.94780509
28007,-36.76378971,-10.28525249
28008,-37.08895551,-10.5314151
28009,-36.78753286,-10.51210877
28010,-37.0747553,-10.74852783
28011,-37.15502827,-10.93857969
28012,-37.6985905,-11.2703122
28013,-37.40662951,-11.22868167
29001,-45.50520538,-11.94806625
29002,-44.24948567,-11.64005603
29003,-45.08758194,-13.8214001
29004,-41.61650795,-9.699765855
29005,-38.84301873,-9.219577376
29006,-43.14186648,-11.15102177
29007,-43.5309182,-13.35685923
29008,-40.45316841,-10.35678188
29009,-41.97611119,-11.55047702
29010,-40.76257296,-11.24637898
29011,-40.44917593,-12.36603706
29012,-39.35271251,-12.25750231
29013,-38.34529391,-10.005332
29014,-39.23112244,-10.4893828
29015,-38.32644014,-10.9124269
29016,-39.32476618,-11.5229428
29017,-38.31393929,-11.77017287
29018,-37.84492784,-11.90617179
29019,-38.31697945,-12.40991613
29020,-39.06111887,-12.82932205
29021,-38.43713668,-12.76161883
29022,-42.55401832,-12.64132038
29023,-41.45981016,-12.92085378
29024,-40.19975293,-13.46970289
29025,-42.04847959,-13.60166271
29026,-42.89786947,-14.24474839
29027,-41.61692945,-14.51278135
29028,-40.62913219,-14.65309783
29029,-40.36397434,-15.47818101
29030,-39.18684648,-13.71671072
29031,-39.42965133,-14.96340127
29032,-39.74465243,-17.0916426
31001,-46.46634761,-15.91496169
31002,-46.34053505,-17.63013616
31003,-44.74440774,-15.28338846
31004,-43.21215009,-15.40610435
31005,-42.15178926,-15.70520716
31006,-45.12644205,-17.118655
31007,-44.06661385,-16.33517971
31008,-42.99942361,-16.65904622
31009,-43.80129052,-17.36463895
31010,-43.54970407,-18.09091461
31011,-42.67669151,-17.44855887
31012,-41.87099419,-16.9272901
31013,-41.44260936,-16.17379648
31014,-40.69777285,-16.33236614
31015,-41.51169719,-17.76462194
31016,-40.75869306,-17.45394195
31017,-49.88639144,-18.96722751
31018,-48.63330204,-18.92745357
31019,-47.20350934,-18.72324977
31020,-46.2306473,-18.89747437
31021,-49.82746858,-19.69807487
31022,-48.1427215,-19.7015096
31023,-47.02805978,-19.61236681
31024,-45.21297924,-18.77592059
31025,-44.39976853,-18.43026718
31026,-45.46897017,-19.62859275
31027,-44.10801528,-19.27908653
31028,-43.36390029,-18.77951183
31029,-44.6917302,-19.72501856
31030,-44.04356382,-19.90160906
31031,-43.17374761,-19.72946653
31032,-44.26967908,-20.37186713
31033,-43.5168311,-20.34845644
31034,-43.87867235,-20.6687881
31035,-42.8607164,-18.7493464
31036,-42.45095987,-18.24228741
31037,-41.85162739,-18.64973605
31038,-41.20821946,-18.64887689
31039,-42.59572726,-19.36765486
31040,-42.11648783,-19.57591456
31041,-41.3843953,-19.49211611
31042,-46.19104042,-20.14030052
31043,-44.93808068,-20.10570883
31044,-45.43162785,-20.46291267
31045,-45.31479242,-20.87685968
31046,-44.74936716,-20.77067707
31047,-46.68569442,-20.60105849
31048,-46.73254931,-21.15858742
31049,-46.02761519,-21.37406327
31050,-45.52934238,-21.32642367
31051,-46.4139702,-21.99758167
31052,-46.09998801,-22.47153832
31053,-45.67104988,-22.10408246
31054,-44.99013842,-22.09543886
31055,-44.44619896,-21.89205848
31056,-45.42382073,-22.42927318
31057,-44.90634319,-21.36708685
31058,-44.29702135,-21.15172276
31059,-43.76463625,-21.1969372
31060,-42.71649123,-20.25311511
31061,-42.03259551,-20.22815366
31062,-43.04614354,-20.77043373
31063,-42.26563092,-20.88510908
31064,-43.02516333,-21.14092764
31065,-43.48316116,-21.74769274
31066,-42.60967904,-21.55611918
32001,-40.85648298,-18.43717847
32002,-40.51412419,-18.76091635
32003,-40.74352512,-19.36287173
32004,-40.32190463,-18.20516386
32005,-39.97178372,-18.64585028
32006,-40.13584186,-19.47087825
32007,-41.03225809,-20.20301601
32008,-40.71576126,-19.94272242
32009,-40.30868819,-20.27363463
32010,-40.73013189,-20.65271452
32011,-41.59256628,-20.53296347
32012,-41.29091598,-20.84963601
32013,-40.99831116,-21.06109942
33001,-41.85802496,-21.15247968
33002,-42.06664943,-21.53520913
33003,-41.40362708,-21.66875433
33004,-41.77197941,-22.20901154
33005,-43.09599842,-22.11464895
33006,-42.39053447,-21.90362299
33007,-42.50809274,-22.21071149
33008,-42.03368858,-22.00270919
33009,-42.27086161,-22.52702356
33010,-42.23356692,-22.78833487
33011,-44.23327297,-22.548472
33012,-43.80676361,-22.26601067
33013,-44.54208664,-23.07298547
33014,-43.5540558,-22.44336028
33015,-43.00681868,-22.33322663
33016,-42.68270128,-22.58704567
33017,-43.86960056,-22.86010003
33018,-43.21243121,-22.77244373
35001,-50.72819699,-20.22041125
35002,-50.27367376,-20.15249015
35003,-49.86134691,-20.23363848
35004,-49.41629912,-20.69285575
35005,-48.90289009,-21.07122383
35006,-50.39858866,-20.65735308
35007,-49.87650967,-20.76467406
35008,-49.26641445,-21.36309479
35009,-48.66028051,-20.48334548
35010,-48.12684328,-20.50356991
35011,-47.75832137,-20.26003041
35012,-47.41666166,-20.46506482
35013,-48.44560591,-21.14361179
35014,-47.75477126,-21.33173562
35015,-47.38977718,-21.06611056
35016,-51.25881775,-20.81243624
35017,-50.718279,-21.12638616
35018,-50.24667519,-21.37946102
35019,-49.7593058,-21.67024511
35020,-49.21039789,-22.26275537
35021,-48.62039336,-22.27683673
35022,-48.93225697,-23.19643554
35023,-48.36319647,-22.88524762
35024,-48.52371469,-21.70330768
35025,-47.888748,-21.96658811
35026,-47.88931889,-22.31783258
35027,-47.3555355,-22.39173746
35028,-47.76987065,-22.76915159
35029,-47.27855707,-21.96440418
35030,-46.91142393,-21.72093965
35031,-46.96993746,-22.38359352
35032,-47.16628507,-22.87657133
35033,-46.63242115,-22.66205627
35034,-51.64067162,-21.40238631
35035,-51.04695791,-21.65087667
35036,-51.73129866,-22.20336648
35037,-50.47144947,-21.91404556
35038,-49.95566102,-22.23484678
35039,-50.54516038,-22.5946939
35040,-49.57837019,-22.9888014
35041,-49.0451138,-23.86647535
35042,-48.2349572,-23.53933343
35043,-47.90998166,-23.21498148
35044,-48.64687391,-24.32440629
35045,-47.58530544,-23.87010003
35046,-47.41886853,-23.43535764
35047,-46.93389818,-23.17794119
35048,-46.51235671,-23.02386423
35049,-45.68235757,-22.79078228
35050,-45.76130552,-23.09514983
35051,-45.08896848,-22.71037723
35052,-44.56949148,-22.72389503
35053,-45.28476317,-23.25015856
35054,-45.31309311,-23.60526815
35055,-47.88519308,-24.57152855
35056,-47.00057207,-24.17108297
35057,-46.90574008,-23.45317953
35058,-46.64242758,-23.32208452
35059,-46.33834851,-23.34696606
35060,-46.94917242,-23.81933874
35061,-46.59440417,-23.68816427
35062,-46.0949957,-23.5599536
35063,-46.24971602,-23.86317864
41001,-52.79248449,-22.94813713
41002,-53.51362505,-23.72780373
41003,-52.75238009,-23.61235203
41004,-52.86671271,-24.41895762
41005,-52.32163275,-24.14927005
41006,-51.85201057,-23.00749546
41007,-51.23446003,-22.9121601
41008,-52.20406725,-23.51863131
41009,-51.89168653,-23.46845383
41010,-51.44153133,-23.61074079
41011,-51.17599707,-23.44197269
41012,-51.51323816,-23.90281332
41013,-51.56036033,-24.35488835
41014,-50.81742076,-23.48231734
41015,-50.53427308,-23.23445596
41016,-50.00079508,-23.22950224
41017,-50.35337229,-23.8397444
41018,-49.80914761,-23.67588632
41019,-50.67422174,-24.40685066
41020,-49.76425657,-24.28690003
41021,-49.99199213,-25.05378084
41022,-53.91035158,-24.53969165
41023,-53.22117938,-25.03309538
41024,-54.09362394,-25.30001352
41025,-53.62491016,-25.7755464
41026,-53.20712391,-25.95900643
41027,-52.63206121,-25.97395921
41028,-51.97487516,-24.80536616
41029,-51.94965591,-25.44001165
41030,-52.04542743,-26.25053717
41031,-50.79531705,-25.15847203
41032,-50.79194943,-25.67048196
41033,-51.24595504,-26.14967962
41034,-50.33926422,-25.84972499
41035,-49.12623477,-24.78294974
41036,-49.87252972,-25.75047727
41037,-49.26091775,-25.34482609
41038,-48.58950221,-25.46792763
41039,-49.43543371,-25.98859244
42001,-53.50595831,-26.71048677
42002,-52.95585449,-26.81772287
42003,-52.28931099,-26.71195273
42004,-51.25856736,-26.91485417
42005,-52.0839077,-27.18118805
42006,-50.30575667,-26.41070133
42007,-49.43310633,-26.31946799
42008,-48.9322913,-26.33280138
42009,-50.78178268,-27.28609424
42010,-50.21511778,-27.93803012
42011,-49.84157096,-27.08169071
42012,-49.21954658,-26.89922323
42013,-48.73630942,-26.89434162
42014,-49.56756858,-27.4708153
42015,-49.00018165,-27.39234731
42016,-48.69606955,-27.66657765
42017,-49.12542824,-27.7948708
42018,-49.06279021,-28.30960305
42019,-49.42701009,-28.61563814
42020,-49.73169169,-28.98360095
43001,-54.54707637,-27.7684204
43002,-53.95758928,-27.48192857
43003,-53.16687232,-27.4402985
43004,-52.33221163,-27.61045647
43005,-51.67388582,-27.81482064
43006,-54.83683004,-28.09726211
43007,-54.76897836,-28.40952687
43008,-53.75679667,-28.16586024
43009,-53.10737532,-28.00578076
43010,-52.2112808,-28.25453443
43011,-53.42895826,-28.73718531
43012,-52.84022616,-28.54484347
43013,-52.55794616,-28.95746258
43014,-51.86742454,-28.78069809
43015,-50.73825835,-28.64967139
43016,-51.30980711,-29.08058381
43017,-54.35066805,-29.10633101
43018,-54.21784702,-29.83369975
43019,-53.39051488,-29.72182828
43020,-52.67335667,-29.52209023
43021,-51.99943965,-29.37488501
43022,-52.7492758,-30.10052091
43023,-51.41987139,-29.56364473
43024,-50.81953042,-29.5216055
43025,-51.85658445,-30.09301319
43026,-51.1217287,-30.04018689
43027,-50.44057669,-30.17730331
43028,-51.76149116,-30.70851
43029,-56.0358483,-29.54944807
43030,-55.01956507,-30.48846648
43031,-54.28297913,-31.14851087
43032,-53.19592225,-31.08135808
43033,-52.45837127,-31.39578794
43034,-53.18793416,-32.21424475
43035,-52.68036638,-32.73223625
50001,-56.86612762,-19.27392171
50002,-55.95498229,-20.00185667
50003,-54.36215336,-18.5795436
50004,-54.61694688,-20.45856926
50005,-52.77043872,-18.87184949
50006,-51.65743925,-19.8020345
50007,-52.93189083,-20.53068197
50008,-53.08148588,-22.07242016
50009,-56.45176861,-21.38159934
50010,-54.99203121,-22.17669583
50011,-54.34323057,-23.10977689
51001,-59.55927561,-10.56822109
51002,-57.35778446,-9.458009755
51003,-54.64552796,-10.17260269
51004,-58.76484781,-13.42231887
51005,-57.16878325,-11.78181237
51006,-55.69855427,-13.06879415
51007,-54.60176626,-11.48537356
51008,-53.96924375,-13.55774398
51009,-51.69879667,-11.24238058
51010,-52.69808324,-13.57736257
51011,-51.66450215,-14.54664183
51012,-59.69057053,-15.08385474
51013,-57.87301808,-14.7432256
51014,-58.53518449,-15.5475926
51015,-56.96121372,-14.47694949
51016,-56.02159961,-14.8645741
51017,-55.75206695,-15.91059703
51018,-57.17289296,-16.66043362
51019,-54.56534146,-15.21388202
51020,-53.49336086,-16.02588006
51021,-54.62829547,-16.70382908
51022,-53.48723246,-17.30331436
52001,-50.28727398,-13.95911487
52002,-50.80767601,-15.42421365
52003,-51.8710672,-16.18751554
52004,-48.90573363,-13.94729224
52005,-47.42576511,-13.80956706
52006,-49.49197238,-15.11480607
52007,-49.45553123,-16.04704164
52008,-50.91372938,-16.39231039
52009,-50.19078579,-16.43550869
52010,-49.20499551,-16.77155042
52011,-46.5536601,-14.20277817
52012,-47.94967883,-15.76854269
52013,-51.92212667,-17.65773577
52014,-50.2091328,-17.17611913
52015,-49.35240076,-17.87184782
52016,-48.4441024,-16.95858783
52017,-47.95194263,-17.82487258
52018,-50.94507883,-18.72454624
53001,-47.79685023,-15.78066588
