"microcode";"fem";"tot";"share_fem_politics"
11006;9;89;0,101123595505618
11003;11;82;0,134146341463415
11008;6;47;0,127659574468085
11002;0;31;0
11004;25;131;0,190839694656489
11005;4;40;0,1
11007;9;59;0,152542372881356
11001;10;90;0,111111111111111
12004;12;82;0,146341463414634
12005;6;38;0,157894736842105
12001;12;68;0,176470588235294
12002;4;33;0,121212121212121
12003;5;31;0,161290322580645
13005;5;33;0,151515151515152
13003;13;110;0,118181818181818
13006;4;64;0,0625
13013;7;64;0,109375
13007;14;117;0,11965811965812
13001;8;42;0,19047619047619
13010;11;75;0,146666666666667
13011;4;22;0,181818181818182
13012;5;29;0,172413793103448
13004;5;71;0,0704225352112676
13009;6;68;0,0882352941176471
13002;4;29;0,137931034482759
13008;1;22;0,0454545454545455
14001;9;75;0,12
14002;9;45;0,2
14003;2;38;0,0526315789473684
14004;6;38;0,157894736842105
15011;13;89;0,146067415730337
15017;17;88;0,193181818181818
15012;13;65;0,2
15005;10;57;0,175438596491228
15019;8;61;0,131147540983607
15002;19;113;0,168141592920354
15003;5;22;0,227272727272727
15015;12;86;0,13953488372093
15007;18;126;0,142857142857143
15010;26;194;0,134020618556701
15013;25;144;0,173611111111111
15014;11;68;0,161764705882353
15004;5;46;0,108695652173913
15018;3;57;0,0526315789473684
15020;10;59;0,169491525423729
15016;16;74;0,216216216216216
15008;11;65;0,169230769230769
15006;15;69;0,217391304347826
15009;17;119;0,142857142857143
15022;8;50;0,16
15001;9;61;0,147540983606557
15021;15;106;0,141509433962264
16003;20;101;0,198019801980198
16002;4;27;0,148148148148148
16001;3;20;0,15
16004;6;29;0,206896551724138
17003;35;227;0,154185022026432
17001;60;292;0,205479452054795
17005;30;147;0,204081632653061
17008;32;191;0,167539267015707
17006;15;163;0,0920245398773006
17002;25;212;0,117924528301887
17004;28;130;0,215384615384615
17007;12;144;0,0833333333333333
21009;39;185;0,210810810810811
21016;8;42;0,19047619047619
21013;13;62;0,209677419354839
21001;19;138;0,13768115942029
21008;65;358;0,181564245810056
21015;8;66;0,121212121212121
21020;7;64;0,109375
21007;29;140;0,207142857142857
21005;46;287;0,160278745644599
21014;28;99;0,282828282828283
21011;29;138;0,210144927536232
21003;17;112;0,151785714285714
21010;35;212;0,165094339622642
21018;24;160;0,15
21004;9;66;0,136363636363636
21021;14;74;0,189189189189189
21017;16;86;0,186046511627907
21019;12;73;0,164383561643836
21006;22;86;0,255813953488372
21012;25;124;0,201612903225806
21002;11;74;0,148648648648649
22015;67;368;0,182065217391304
22005;35;179;0,195530726256983
22014;17;65;0,261538461538462
22004;20;190;0,105263157894737
22003;22;158;0,139240506329114
22010;18;137;0,131386861313869
22011;22;177;0,124293785310734
22008;20;81;0,246913580246914
22006;22;149;0,147651006711409
22013;33;197;0,16751269035533
22012;14;83;0,168674698795181
22007;10;47;0,212765957446809
22001;34;201;0,169154228855721
22002;31;151;0,205298013245033
22009;18;113;0,15929203539823
23033;10;60;0,166666666666667
23013;21;135;0,155555555555556
23021;16;97;0,164948453608247
23020;9;70;0,128571428571429
23004;4;18;0,222222222222222
23030;6;40;0,15
23023;19;118;0,161016949152542
23008;10;45;0,222222222222222
23027;13;53;0,245283018867925
23011;8;51;0,156862745098039
23016;28;174;0,160919540229885
23022;12;44;0,272727272727273
23018;20;110;0,181818181818182
23029;11;53;0,207547169811321
23031;7;44;0,159090909090909
23028;11;40;0,275
23019;17;87;0,195402298850575
23032;19;139;0,136690647482014
23014;1;33;0,0303030303030303
23001;18;138;0,130434782608696
23015;4;55;0,0727272727272727
23012;8;46;0,173913043478261
23005;27;134;0,201492537313433
23002;16;96;0,166666666666667
23007;3;44;0,0681818181818182
23026;14;83;0,168674698795181
23003;7;36;0,194444444444444
23025;9;47;0,191489361702128
23017;5;30;0,166666666666667
23006;19;75;0,253333333333333
23010;5;44;0,113636363636364
23024;4;33;0,121212121212121
23009;6;56;0,107142857142857
24012;28;116;0,241379310344828
24004;15;98;0,153061224489796
24009;11;83;0,132530120481928
24005;23;94;0,24468085106383
24006;33;188;0,175531914893617
24007;22;99;0,222222222222222
24002;7;51;0,137254901960784
24001;13;90;0,144444444444444
24019;21;96;0,21875
24014;47;202;0,232673267326733
24013;8;54;0,148148148148148
24010;9;78;0,115384615384615
24015;72;386;0,186528497409326
24008;12;47;0,25531914893617
24011;12;69;0,173913043478261
24017;19;80;0,2375
24018;9;69;0,130434782608696
24003;9;45;0,2
24016;17;67;0,253731343283582
25007;22;132;0,166666666666667
25005;11;103;0,106796116504854
25015;19;98;0,193877551020408
25016;39;224;0,174107142857143
25011;16;151;0,105960264900662
25012;21;118;0,177966101694915
25023;8;44;0,181818181818182
25002;32;232;0,137931034482759
25010;33;193;0,170984455958549
25003;33;243;0,135802469135802
25013;12;89;0,134831460674157
25004;21;85;0,247058823529412
25014;4;40;0,1
25019;4;58;0,0689655172413793
25020;15;105;0,142857142857143
25009;18;96;0,1875
25022;17;122;0,139344262295082
25001;20;138;0,144927536231884
25006;22;156;0,141025641025641
25017;14;133;0,105263157894737
25018;15;97;0,154639175257732
25021;16;100;0,16
25008;14;113;0,123893805309735
26017;17;157;0,10828025477707
26003;32;239;0,133891213389121
26005;17;113;0,150442477876106
26012;22;144;0,152777777777778
26015;24;232;0,103448275862069
26007;5;69;0,072463768115942
26008;32;230;0,139130434782609
26013;36;220;0,163636363636364
26011;34;205;0,165853658536585
26016;6;44;0,136363636363636
26001;19;156;0,121794871794872
26004;12;85;0,141176470588235
26006;10;98;0,102040816326531
26010;22;154;0,142857142857143
26018;1;27;0,037037037037037
26009;13;97;0,134020618556701
26002;18;105;0,171428571428571
26014;5;52;0,0961538461538462
27001;15;71;0,211267605633803
27012;14;114;0,12280701754386
27006;21;158;0,132911392405063
27009;34;208;0,163461538461538
27011;19;125;0,152
27004;17;87;0,195402298850575
27005;25;155;0,161290322580645
27003;22;138;0,159420289855072
27008;13;97;0,134020618556701
27002;5;38;0,131578947368421
27013;6;55;0,109090909090909
27010;8;45;0,177777777777778
27007;6;29;0,206896551724138
28007;12;94;0,127659574468085
28003;10;58;0,172413793103448
28011;7;71;0,0985915492957746
28012;15;84;0,178571428571429
28004;16;119;0,134453781512605
28001;15;102;0,147058823529412
28008;11;60;0,183333333333333
28002;10;71;0,140845070422535
28010;11;74;0,148648648648649
28013;5;45;0,111111111111111
28009;16;93;0,172043010752688
28006;2;28;0,0714285714285714
28005;4;37;0,108108108108108
29023;26;207;0,1256038647343
29005;8;64;0,125
29017;11;101;0,108910891089109
29015;18;159;0,113207547169811
29012;34;282;0,120567375886525
29025;2;51;0,0392156862745098
29024;38;308;0,123376623376623
29032;23;225;0,102222222222222
29031;55;481;0,114345114345114
29019;12;90;0,133333333333333
29009;36;267;0,134831460674157
29028;21;212;0,0990566037735849
29008;10;114;0,087719298245614
29002;6;74;0,0810810810810811
29027;18;138;0,130434782608696
29016;29;237;0,122362869198312
29020;27;237;0,113924050632911
29001;11;85;0,129411764705882
29011;24;157;0,152866242038217
29006;10;75;0,133333333333333
29007;14;68;0,205882352941176
29022;11;133;0,0827067669172932
29026;31;197;0,157360406091371
29010;29;164;0,176829268292683
29030;18;131;0,137404580152672
29021;29;210;0,138095238095238
29004;16;115;0,139130434782609
29003;16;126;0,126984126984127
29014;19;124;0,153225806451613
29018;9;80;0,1125
29013;6;55;0,109090909090909
29029;18;117;0,153846153846154
31019;16;107;0,149532710280374
31024;11;65;0,169230769230769
31061;22;194;0,11340206185567
31060;24;177;0,135593220338983
31039;19;157;0,121019108280255
31036;10;116;0,0862068965517241
31022;9;70;0,128571428571429
31045;12;86;0,13953488372093
31016;6;96;0,0625
31005;16;174;0,0919540229885057
31041;11;127;0,0866141732283465
31055;13;117;0,111111111111111
31054;24;154;0,155844155844156
31051;17;147;0,115646258503401
31066;15;151;0,0993377483443709
31049;11;115;0,0956521739130435
31059;13;125;0,104
31014;26;150;0,173333333333333
31037;38;248;0,153225806451613
31047;23;128;0,1796875
31062;31;217;0,142857142857143
31031;24;200;0,12
31028;12;119;0,100840336134454
31013;5;49;0,102040816326531
31011;12;151;0,0794701986754967
31063;22;190;0,115789473684211
31027;23;196;0,11734693877551
31065;34;311;0,109324758842444
31012;6;80;0,075
31018;18;147;0,122448979591837
31020;7;106;0,0660377358490566
31026;12;110;0,109090909090909
31023;15;107;0,14018691588785
31048;16;137;0,116788321167883
31044;6;79;0,0759493670886076
31001;13;107;0,121495327102804
31064;20;157;0,127388535031847
31015;14;133;0,105263157894737
31025;12;116;0,103448275862069
31042;10;101;0,099009900990099
31030;28;365;0,0767123287671233
31032;9;90;0,1
31050;27;185;0,145945945945946
31009;3;49;0,0612244897959184
31040;24;194;0,123711340206186
31052;31;224;0,138392857142857
31046;16;118;0,135593220338983
31003;13;185;0,0702702702702703
31008;6;56;0,107142857142857
31002;9;117;0,0769230769230769
31007;24;224;0,107142857142857
31035;23;141;0,163120567375887
31056;10;127;0,078740157480315
31006;13;111;0,117117117117117
31053;25;141;0,177304964539007
31017;6;75;0,08
31021;16;120;0,133333333333333
31043;9;125;0,072
31057;6;91;0,0659340659340659
31034;16;138;0,115942028985507
31058;10;139;0,0719424460431655
31004;14;137;0,102189781021898
31038;7;65;0,107692307692308
31010;7;76;0,0921052631578947
31033;6;52;0,115384615384615
31029;5;53;0,0943396226415094
32007;4;67;0,0597014925373134
32002;5;80;0,0625
32001;1;42;0,0238095238095238
32011;6;89;0,0674157303370786
32010;11;75;0,146666666666667
32003;6;73;0,0821917808219178
32012;3;108;0,0277777777777778
32006;7;81;0,0864197530864197
32009;8;98;0,0816326530612245
32005;5;44;0,113636363636364
32008;6;60;0,1
32013;4;42;0,0952380952380952
32004;4;38;0,105263157894737
33013;2;23;0,0869565217391304
33002;7;62;0,112903225806452
33010;7;86;0,0813953488372093
33005;9;60;0,15
33012;2;51;0,0392156862745098
33011;10;129;0,0775193798449612
33018;28;325;0,0861538461538462
33007;10;76;0,131578947368421
33001;4;82;0,0487804878048781
33016;3;23;0,130434782608696
33004;6;46;0,130434782608696
33003;7;69;0,101449275362319
33006;7;60;0,116666666666667
33009;2;31;0,0645161290322581
33014;7;62;0,112903225806452
33017;2;38;0,0526315789473684
33015;3;36;0,0833333333333333
33008;6;27;0,222222222222222
35035;19;132;0,143939393939394
35004;36;329;0,109422492401216
35029;5;45;0,111111111111111
35030;17;147;0,115646258503401
35033;15;99;0,151515151515152
35022;8;78;0,102564102564103
35028;19;150;0,126666666666667
35020;31;206;0,150485436893204
35042;7;55;0,127272727272727
35036;43;321;0,133956386292835
35015;8;62;0,129032258064516
35018;29;194;0,149484536082474
35046;23;178;0,129213483146067
35003;14;87;0,160919540229885
35038;17;158;0,107594936708861
35032;13;246;0,0528455284552846
35024;30;188;0,159574468085106
35025;7;77;0,0909090909090909
35016;11;109;0,100917431192661
35023;8;69;0,115942028985507
35051;19;125;0,152
35001;32;239;0,133891213389121
35044;7;100;0,07
35017;8;68;0,117647058823529
35011;10;53;0,188679245283019
35052;6;45;0,133333333333333
35027;14;98;0,142857142857143
35037;5;71;0,0704225352112676
35005;20;132;0,151515151515152
35031;6;81;0,0740740740740741
35059;6;73;0,0821917808219178
35039;18;174;0,103448275862069
35048;9;142;0,0633802816901408
35006;9;81;0,111111111111111
35041;13;142;0,0915492957746479
35021;14;142;0,0985915492957746
35055;15;125;0,12
35009;5;37;0,135135135135135
35014;18;216;0,0833333333333333
35057;13;128;0,1015625
35013;25;193;0,129533678756477
35040;14;170;0,0823529411764706
35063;6;108;0,0555555555555556
35062;18;130;0,138461538461538
35043;12;101;0,118811881188119
35026;9;72;0,125
35050;14;101;0,138613861386139
35019;10;93;0,10752688172043
35058;6;46;0,130434782608696
35047;6;65;0,0923076923076923
35049;4;40;0,1
35054;8;59;0,135593220338983
35060;7;92;0,0760869565217391
35012;8;98;0,0816326530612245
35053;5;67;0,0746268656716418
35061;18;206;0,087378640776699
35034;17;112;0,151785714285714
35002;13;114;0,114035087719298
35010;13;111;0,117117117117117
35045;6;68;0,0882352941176471
35008;11;76;0,144736842105263
35056;4;58;0,0689655172413793
35007;13;81;0,160493827160494
41015;18;150;0,12
41035;3;27;0,111111111111111
41039;5;63;0,0793650793650794
41037;26;256;0,1015625
41004;12;121;0,0991735537190083
41002;17;230;0,0739130434782609
41001;40;307;0,130293159609121
41007;6;72;0,0833333333333333
41025;16;116;0,137931034482759
41023;24;241;0,0995850622406639
41006;46;264;0,174242424242424
41038;13;83;0,156626506024096
41034;0;27;0
41010;14;89;0,157303370786517
41020;7;42;0,166666666666667
41013;14;137;0,102189781021898
41005;14;141;0,099290780141844
41014;5;72;0,0694444444444444
41022;37;265;0,139622641509434
41026;19;185;0,102702702702703
41016;3;54;0,0555555555555556
41033;4;78;0,0512820512820513
41028;10;78;0,128205128205128
41012;14;83;0,168674698795181
41027;13;103;0,12621359223301
41011;8;79;0,10126582278481
41029;19;224;0,0848214285714286
41021;8;63;0,126984126984127
41018;9;99;0,0909090909090909
41024;18;107;0,168224299065421
41003;24;160;0,15
41030;7;70;0,1
41017;10;72;0,138888888888889
41008;16;96;0,166666666666667
41031;5;69;0,072463768115942
41019;6;62;0,0967741935483871
41032;5;46;0,108695652173913
41036;0;18;0
41009;5;63;0,0793650793650794
42009;16;132;0,121212121212121
42003;30;240;0,125
42014;5;76;0,0657894736842105
42011;28;194;0,144329896907216
42004;44;280;0,157142857142857
42002;64;453;0,141280353200883
42017;5;45;0,111111111111111
42005;25;141;0,177304964539007
42001;48;280;0,171428571428571
42015;8;78;0,102564102564103
42010;22;183;0,120218579234973
42016;12;118;0,101694915254237
42012;17;155;0,109677419354839
42008;11;122;0,0901639344262295
42020;23;169;0,136094674556213
42018;26;222;0,117117117117117
42013;20;141;0,141843971631206
42006;29;148;0,195945945945946
42007;7;43;0,162790697674419
42019;17;118;0,144067796610169
43031;8;57;0,140350877192982
43010;39;257;0,151750972762646
43019;10;81;0,123456790123457
43008;26;145;0,179310344827586
43001;17;136;0,125
43029;25;110;0,227272727272727
43009;31;180;0,172222222222222
43003;41;283;0,144876325088339
43011;22;152;0,144736842105263
43023;29;192;0,151041666666667
43026;38;352;0,107954545454545
43032;8;76;0,105263157894737
43014;29;193;0,150259067357513
43016;26;201;0,129353233830846
43028;6;78;0,0769230769230769
43004;27;298;0,0906040268456376
43021;46;340;0,135294117647059
43027;35;230;0,152173913043478
43033;15;112;0,133928571428571
43025;19;109;0,174311926605505
43020;22;204;0,107843137254902
43034;2;27;0,0740740740740741
43005;17;108;0,157407407407407
43002;26;204;0,127450980392157
43013;14;85;0,164705882352941
43015;27;179;0,150837988826816
43007;23;156;0,147435897435897
43018;25;142;0,176056338028169
43022;12;73;0,164383561643836
43006;15;99;0,151515151515152
43024;21;145;0,144827586206897
43017;11;87;0,126436781609195
43035;9;52;0,173076923076923
43012;15;72;0,208333333333333
43030;10;65;0,153846153846154
50007;10;55;0,181818181818182
50003;8;80;0,1
50010;18;180;0,1
50002;5;44;0,113636363636364
50008;8;51;0,156862745098039
50011;34;183;0,185792349726776
50006;3;36;0,0833333333333333
50004;16;138;0,115942028985507
50009;21;120;0,175
50005;6;40;0,15
50001;5;35;0,142857142857143
51016;4;29;0,137931034482759
51010;12;98;0,122448979591837
51002;15;56;0,267857142857143
51022;6;29;0,206896551724138
51009;24;164;0,146341463414634
51015;3;45;0,0666666666666667
51011;3;33;0,0909090909090909
51020;15;92;0,16304347826087
51014;16;129;0,124031007751938
51001;11;78;0,141025641025641
51018;4;38;0,105263157894737
51013;9;63;0,142857142857143
51004;7;47;0,148936170212766
51019;4;28;0,142857142857143
51017;7;86;0,0813953488372093
51007;8;87;0,0919540229885057
51003;11;78;0,141025641025641
51012;7;47;0,148936170212766
51021;11;97;0,11340206185567
51008;7;38;0,184210526315789
51006;11;85;0,129411764705882
51005;4;54;0,0740740740740741
52010;24;237;0,10126582278481
52012;21;242;0,0867768595041322
52014;12;121;0,0991735537190083
52009;15;123;0,121951219512195
52015;21;235;0,0893617021276596
52004;27;205;0,131707317073171
52005;6;74;0,0810810810810811
52011;17;139;0,122302158273381
52008;7;94;0,074468085106383
52007;20;215;0,0930232558139535
52017;15;127;0,118110236220472
52013;30;187;0,160427807486631
52003;11;74;0,148648648648649
52002;20;103;0,194174757281553
52006;39;236;0,165254237288136
52018;15;114;0,131578947368421
52016;14;94;0,148936170212766
52001;15;89;0,168539325842697
53001;4;24;0,166666666666667
